hora;latitude;longitude;velocidade_gps;altitude;tensao;corrente;velocidade;acel_x;acel_y;acel_z;gyro_x;gyro_y;gyro_z
2023-11-08 14:08:16.546;-15.99018;-48.04364;84;0;49.6;-3.66;0;5.56891;-0.308852;8.44914;0.00572894;0.0235819;0.0117243
2023-11-08 14:08:17.285;-15.99018;-48.04364;47;0;49.6;-2.44;0;5.54976;-0.306458;8.39647;0.00519602;0.0253139;0.0102588
2023-11-08 14:08:18.379;-15.99018;-48.04364;14;0;49.6;-2.44;0;5.54018;-0.253785;8.42998;0.00359724;0.0211838;0.0115911
2023-11-08 14:08:19.599;-15.99018;-48.04364;12;0;49.6;-3.66;0;5.57131;-0.203507;8.40365;0.00159877;0.0246478;0.00679479
2023-11-08 14:08:20.599;-15.99018;-48.04364;7;0;49.6;-2.44;0;5.59525;-0.304064;8.34858;0.00333078;0.0241149;0.0107917
2023-11-08 14:08:21.604;-15.99018;-48.04364;22;0;49.6;-2.44;0;5.64553;-0.253785;8.39407;0.00532925;0.0246478;0.0131899
2023-11-08 14:08:22.632;-15.99018;-48.04364;17;0;49.6;-2.44;0;5.56652;-0.222661;8.41083;0.0042634;0.0285115;0.0102588
2023-11-08 14:08:23.624;-15.99018;-48.04364;2;0;49.6;-2.44;0;5.55694;-0.203507;8.38689;0.00346401;0.0254472;0.012124
2023-11-08 14:08:24.621;-15.99018;-48.04364;9;0;49.6;-2.44;0;5.60483;-0.181959;8.36055;0.00346401;0.0253139;0.0107917
2023-11-08 14:08:25.576;-15.99018;-48.04364;9;0;49.66;-2.44;0;5.57131;-0.217872;8.40604;0.00279786;0.0249142;0.0123905
2023-11-08 14:08:26.560;-15.99018;-48.04364;29;0;49.66;-2.44;0;5.53779;-0.263362;8.38928;0.00439663;0.0231822;0.00866003
2023-11-08 14:08:27.663;-15.99018;-48.04364;26;0;49.66;-2.44;0;5.61919;-0.225055;8.64307;0.00439663;0.0237152;0.00905972
